q;vol;cpc;db;src;cluster;geo;reason
houses for sale in peloponnese greece;50;0.07;us;semrush-volumes.csv;property;island_region;
greece golden visa citizenship;50;2.61;us;semrush-volumes.csv;visa;country;
cheap property for sale in greece;50;0.44;uk;semrush-volumes.csv;property;country;
property for sale in naxos greece;50;0.2;uk;semrush-volumes.csv;property;island_region;
houses for sale in thessaloniki greece;50;0.19;uk;semrush-volumes.csv;property;city;
property for sale in lesvos greece;50;0.22;uk;semrush-volumes.csv;property;island_region;
greece residency by investment;50;1.41;uk;semrush-volumes.csv;visa;country;
house for sale in thessaloniki greece;50;0.19;uk;fullsearch-uk-house.csv;property;city;
house to buy in greece;50;0.42;uk;fullsearch-uk-house.csv;property;country;
houses for sale in greece rhodes;50;0.16;uk;fullsearch-uk-house.csv;property;island_region;
houses for sale in nafplio greece;50;0.2;uk;fullsearch-uk-house.csv;property;district;
houses for sale in samos greece;50;0.21;uk;fullsearch-uk-house.csv;property;island_region;
white and blue houses in greece;50;0.99;uk;fullsearch-uk-house.csv;property;country;
moving to greece health insurance;50;0.0;uk;fullsearch-uk-move.csv;life;country;
golden visa for greece;50;3.13;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece real estate;50;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa citizenship after 7 years official;50;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa lawyer;50;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa properties for sale;50;2.64;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa real estate investment requirements 2026;50;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
invest in greece golden visa;50;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
visa golden greece;50;2.39;us;fullsearch-us-goldenvisa.csv;visa;country;
cost of living in santorini greece;50;0.0;us;fullsearch-us-living.csv;life;island_region;
expat living in greece;50;0.75;us;fullsearch-us-living.csv;life;country;
pros and cons of living in greece;50;0.0;us;fullsearch-us-living.csv;life;country;
athens real estate greece;50;0.33;us;fullsearch-us-realestate.csv;property;city;
chios greece real estate;50;0.08;us;fullsearch-us-realestate.csv;property;island_region;
crete greece real estate for sale;50;0.16;us;fullsearch-us-realestate.csv;property;island_region;
greece luxury real estate;50;0.53;us;fullsearch-us-realestate.csv;property;country;
greece real estate sale;50;0.18;us;fullsearch-us-realestate.csv;property;country;
greece real estate websites;50;0.51;us;fullsearch-us-realestate.csv;property;country;
hydra greece real estate;50;0.26;us;fullsearch-us-realestate.csv;property;island_region;
mykonos greece real estate;50;0.31;us;fullsearch-us-realestate.csv;property;island_region;
real estate agency greece;50;1.25;us;fullsearch-us-realestate.csv;legal;country;
real estate in greece peloponnese;50;0.25;us;fullsearch-us-realestate.csv;property;island_region;
real estate in santorini greece;50;0.26;us;fullsearch-us-realestate.csv;property;island_region;
real estate kalamata greece;50;0.05;us;fullsearch-us-realestate.csv;property;district;
real estate lawyer greece;50;0.0;us;fullsearch-us-realestate.csv;legal;country;
real estate lawyers greece;50;0.0;us;fullsearch-us-realestate.csv;legal;country;
real estate paros greece;50;0.47;us;fullsearch-us-realestate.csv;property;island_region;
real estate peloponnese greece;50;0.25;us;fullsearch-us-realestate.csv;property;island_region;
rhodes greece real estate;50;0.38;us;fullsearch-us-realestate.csv;property;island_region;
greek property for sale;50;0.15;au;secondary;property;country;
property for sale in corfu greece;50;0.26;au;secondary;property;island_region;
living in greece;50;0.0;au;secondary;life;country;
cost of living in greece;50;0.0;au;secondary;life;country;
corfu greece real estate;50;0.2;ca;secondary;property;island_region;
greece citizenship by investment;50;1.21;ca;secondary;visa;country;
buy property in greece;50;0.57;il;secondary;property;country;
houses for sale in greece;50;0.22;ae;secondary;property;country;
property for sale in paros greece;40;0.43;us;semrush-volumes.csv;property;island_region;
property for sale in naxos greece;40;0.15;us;semrush-volumes.csv;property;island_region;
property for sale in peloponnese greece;40;0.27;us;semrush-volumes.csv;property;island_region;
peloponnese real estate;40;0.27;us;semrush-volumes.csv;property;island_region;
greece citizenship requirements;40;0.71;us;semrush-volumes.csv;visa;country;
kefalonia real estate;40;0.25;uk;semrush-volumes.csv;property;island_region;
property for sale in ithaca greece;40;0.25;uk;semrush-volumes.csv;property;island_region;
property for sale in nafplio greece;40;0.27;uk;semrush-volumes.csv;property;district;
greece golden visa requirements;40;1.28;uk;semrush-volumes.csv;visa;country;
greece fip visa;40;1.33;uk;semrush-volumes.csv;visa;country;
buy a house in athens greece;40;0.23;uk;fullsearch-uk-house.csv;property;city;
houses for sale in ikaria greece;40;0.0;uk;fullsearch-uk-house.csv;property;island_region;
best greece golden visa lawyers;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece properties;40;2.58;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa spain vs greece;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa backlog;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa benefits;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa news december 2025;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa news today october 2025;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa official site;40;2.85;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa property investment requirements 2024;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa renewal period;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa scheme;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa tax;40;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
living in corfu greece;40;1.04;us;fullsearch-us-living.csv;life;island_region;
buying real estate in greece;40;0.96;us;fullsearch-us-realestate.csv;property;country;
glyfada greece real estate;40;0.45;us;fullsearch-us-realestate.csv;property;district;
greece real estate market;40;0.0;us;fullsearch-us-realestate.csv;investment;country;
kefalonia greece real estate;40;0.29;us;fullsearch-us-realestate.csv;property;island_region;
nafplio greece real estate;40;0.28;us;fullsearch-us-realestate.csv;property;district;
real estate chios island greece;40;0.0;us;fullsearch-us-realestate.csv;property;island_region;
real estate kefalonia greece;40;0.29;us;fullsearch-us-realestate.csv;property;island_region;
real estate listings in greece;40;0.0;us;fullsearch-us-realestate.csv;property;country;
real estate news greece;40;0.0;us;fullsearch-us-realestate.csv;news;country;
real estate skopelos greece;40;0.03;us;fullsearch-us-realestate.csv;property;island_region;
real estate zakynthos greece;40;0.28;us;fullsearch-us-realestate.csv;property;island_region;
greece golden visa citizenship;40;2.23;ae;secondary;visa;country;
halkidiki real estate;30;0.13;us;semrush-volumes.csv;property;island_region;
property for sale in kalamata greece;30;0.07;us;semrush-volumes.csv;property;district;
how to buy property in greece;30;0.62;us;semrush-volumes.csv;property;country;
greece golden visa 2026;30;2.48;us;semrush-volumes.csv;visa;country;
greece financially independent person visa;30;1.18;us;semrush-volumes.csv;visa;country;
expat life in greece;30;0.0;us;semrush-volumes.csv;life;country;
healthcare in greece for expats;30;1.4;us;semrush-volumes.csv;life;country;
greece non dom tax regime;30;0.0;us;semrush-volumes.csv;money;country;
greece property investment;30;0.0;uk;semrush-volumes.csv;investment;country;
property for sale in evia greece;30;0.18;uk;semrush-volumes.csv;property;island_region;
property for sale in kalamata greece;30;0.18;uk;semrush-volumes.csv;property;district;
greek property lawyer;30;0.0;uk;semrush-volumes.csv;legal;country;
mortgage in greece for foreigners;30;1.68;uk;semrush-volumes.csv;money;country;
greece golden visa cost;30;1.34;uk;semrush-volumes.csv;visa;country;
greece financially independent person visa;30;0.0;uk;semrush-volumes.csv;visa;country;
moving to crete from uk;30;0.77;uk;semrush-volumes.csv;life;island_region;
greece house prices;30;0.32;uk;semrush-volumes.csv;investment;country;
buy a cheap house in greece;30;0.39;uk;fullsearch-uk-house.csv;property;country;
buy house in greece islands;30;0.2;uk;fullsearch-uk-house.csv;property;country;
cheap houses for sale in crete greece by the sea;30;0.21;uk;fullsearch-uk-house.csv;property;island_region;
cheap houses for sale in rhodes greece;30;0.0;uk;fullsearch-uk-house.csv;property;island_region;
cheap houses for sale in rhodes greece under 100k;30;0.0;uk;fullsearch-uk-house.csv;property;island_region;
house for sale in lefkada greece;30;0.26;uk;fullsearch-uk-house.csv;property;island_region;
houses for sale in greece on the beach;30;0.24;uk;fullsearch-uk-house.csv;property;country;
houses for sale in parga greece;30;0.24;uk;fullsearch-uk-house.csv;property;district;
houses for sale in thassos greece;30;0.2;uk;fullsearch-uk-house.csv;property;island_region;
houses in greece to buy;30;0.42;uk;fullsearch-uk-house.csv;property;country;
white houses in greece;30;0.51;uk;fullsearch-uk-house.csv;property;country;
moving from greece to uk;30;0.0;uk;fullsearch-uk-move.csv;life;country;
enterprise greece golden visa 800000 400000 250000 official;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece 2024;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece requirements;30;2.56;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa in greece;30;2.14;us;fullsearch-us-goldenvisa.csv;visa;country;
greece 250k golden visa;30;2.12;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa changes;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa changes 2026;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa for us citizens;30;2.03;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa new rules;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa programme;30;2.25;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa requirements 2025;30;2.17;us;fullsearch-us-goldenvisa.csv;visa;country;
greece real estate golden visa;30;3.04;us;fullsearch-us-goldenvisa.csv;visa;country;
italy vs greece golden visa;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
malta vs greece golden visa;30;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
what is a golden visa in greece;30;1.64;us;fullsearch-us-goldenvisa.csv;visa;country;
disadvantages of living in greece;30;0.0;us;fullsearch-us-living.csv;life;country;
expats living in greece;30;0.85;us;fullsearch-us-living.csv;life;country;
living in santorini greece;30;1.03;us;fullsearch-us-living.csv;life;island_region;
standard of living in greece;30;0.0;us;fullsearch-us-living.csv;life;country;
cheap houses for sale in greece;30;0.06;au;secondary;property;country;
cheap property for sale in greece;20;0.08;us;semrush-volumes.csv;property;country;
greece property prices;20;0.27;us;semrush-volumes.csv;property;country;
greece property market;20;0.0;us;semrush-volumes.csv;investment;country;
property for sale in rhodes greece;20;0.3;us;semrush-volumes.csv;property;island_region;
houses for sale in zakynthos greece;20;0.36;us;semrush-volumes.csv;property;island_region;
property for sale in lefkada greece;20;0.35;us;semrush-volumes.csv;property;island_region;
property for sale in kos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in halkidiki greece;20;0.11;us;semrush-volumes.csv;property;island_region;
houses for sale in halkidiki greece;20;0.12;us;semrush-volumes.csv;property;island_region;
property for sale in thessaloniki greece;20;0.11;us;semrush-volumes.csv;property;city;
property for sale in milos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in tinos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
tinos property investment;20;0.0;us;semrush-volumes.csv;investment;island_region;
property for sale in skiathos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in samos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in chios greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in lesvos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in karpathos greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in symi greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in aegina greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in hydra greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in poros greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in evia greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in pelion greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in skopelos greece;20;0.04;us;semrush-volumes.csv;property;island_region;
property for sale in andros greece;20;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in vouliagmeni greece;20;0.67;us;semrush-volumes.csv;property;district;
property for sale in piraeus greece;20;0.0;us;semrush-volumes.csv;property;district;
property for sale in nafplio greece;20;0.13;us;semrush-volumes.csv;property;district;
property for sale in parga greece;20;0.0;us;semrush-volumes.csv;property;district;
property for sale in sivota greece;20;0.0;us;semrush-volumes.csv;property;district;
buying a house in greece as a foreigner;20;0.0;us;semrush-volumes.csv;property;country;
cost of buying property in greece;20;0.0;us;semrush-volumes.csv;property;country;
enfia tax greece;20;0.0;us;semrush-volumes.csv;money;country;
greek property lawyer;20;0.0;us;semrush-volumes.csv;legal;country;
greece land registry;20;0.0;us;semrush-volumes.csv;legal;country;
greece capital gains tax property;20;0.0;us;semrush-volumes.csv;money;country;
mortgage in greece for foreigners;20;0.0;us;semrush-volumes.csv;money;country;
greece golden visa processing time;20;0.0;us;semrush-volumes.csv;visa;country;
greece permanent residency;20;1.36;us;semrush-volumes.csv;visa;country;
golden visa greece vs portugal;20;0.0;us;semrush-volumes.csv;visa;country;
greece tax residency;20;0.0;us;semrush-volumes.csv;visa;country;
living in crete as an expat;20;0.0;us;semrush-volumes.csv;life;island_region;
living in athens as an expat;20;0.0;us;semrush-volumes.csv;life;city;
greece property prices;20;0.23;uk;semrush-volumes.csv;property;country;
greece property market;20;0.0;uk;semrush-volumes.csv;investment;country;
rhodes real estate;20;0.24;uk;semrush-volumes.csv;property;island_region;
mykonos real estate;20;0.38;uk;semrush-volumes.csv;property;island_region;
santorini real estate;20;0.19;uk;semrush-volumes.csv;property;island_region;
naxos real estate;20;0.21;uk;semrush-volumes.csv;property;island_region;
zakynthos real estate;20;0.17;uk;semrush-volumes.csv;property;island_region;
lefkada real estate;20;0.27;uk;semrush-volumes.csv;property;island_region;
thessaloniki real estate;20;0.1;uk;semrush-volumes.csv;property;city;
property for sale in athens greece;20;0.41;uk;semrush-volumes.csv;property;city;
property for sale in milos greece;20;0.37;uk;semrush-volumes.csv;property;island_region;
property for sale in syros greece;20;0.24;uk;semrush-volumes.csv;property;island_region;
property for sale in chios greece;20;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in aegina greece;20;0.45;uk;semrush-volumes.csv;property;island_region;
property for sale in hydra greece;20;0.23;uk;semrush-volumes.csv;property;island_region;
property for sale in poros greece;20;0.12;uk;semrush-volumes.csv;property;island_region;
property for sale in kythira greece;20;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in pelion greece;20;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in sifnos greece;20;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in andros greece;20;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in glyfada greece;20;0.53;uk;semrush-volumes.csv;property;district;
property for sale in palaio faliro greece;20;0.0;uk;semrush-volumes.csv;property;district;
property for sale in sivota greece;20;0.0;uk;semrush-volumes.csv;property;district;
property for sale in nea makri greece;20;0.0;uk;semrush-volumes.csv;property;country;
how to buy property in greece;20;0.67;uk;semrush-volumes.csv;property;country;
can foreigners buy property in greece;20;0.0;uk;semrush-volumes.csv;property;country;
buying a house in greece as a foreigner;20;0.49;uk;semrush-volumes.csv;property;country;
cost of buying property in greece;20;0.0;uk;semrush-volumes.csv;property;country;
enfia tax greece;20;0.0;uk;semrush-volumes.csv;money;country;
greece land registry;20;0.0;uk;semrush-volumes.csv;legal;country;
greece capital gains tax property;20;0.0;uk;semrush-volumes.csv;money;country;
greece mortgage non resident;20;0.0;uk;semrush-volumes.csv;money;country;
greece golden visa 2026;20;1.32;uk;semrush-volumes.csv;visa;country;
greece golden visa property;20;1.44;uk;semrush-volumes.csv;visa;country;
greece golden visa processing time;20;0.0;uk;semrush-volumes.csv;visa;country;
greece golden visa citizenship;20;1.69;uk;semrush-volumes.csv;visa;country;
greece permanent residency;20;1.2;uk;semrush-volumes.csv;visa;country;
greece visa for us citizens;20;0.0;uk;semrush-volumes.csv;visa;country;
greece citizenship requirements;20;0.85;uk;semrush-volumes.csv;visa;country;
golden visa greece vs portugal;20;0.0;uk;semrush-volumes.csv;visa;country;
cost of living in athens;20;0.0;uk;semrush-volumes.csv;life;city;
expat life in greece;20;0.0;uk;semrush-volumes.csv;life;country;
healthcare in greece for expats;20;0.0;uk;semrush-volumes.csv;life;country;
greece non dom tax regime;20;0.0;uk;semrush-volumes.csv;money;country;
greece tax residency;20;0.0;uk;semrush-volumes.csv;visa;country;
living in crete as an expat;20;0.5;uk;semrush-volumes.csv;life;island_region;
living in athens as an expat;20;0.0;uk;semrush-volumes.csv;life;city;
is greece a good place to retire;20;0.0;uk;semrush-volumes.csv;life;country;
buy to let greece;20;0.0;uk;semrush-volumes.csv;investment;country;
1 euro houses in greece;20;0.0;uk;fullsearch-uk-house.csv;property;country;
1 euro houses in greece for sale;20;0.0;uk;fullsearch-uk-house.csv;property;country;
1 euro houses in greece for sale with sea views;20;0.53;uk;fullsearch-uk-house.csv;property;country;
abandoned houses for sale in greece;20;0.0;uk;fullsearch-uk-house.csv;property;country;
abandoned houses in greece for sale;20;0.0;uk;fullsearch-uk-house.csv;property;country;
average house cost in greece;20;0.0;uk;fullsearch-uk-house.csv;property;country;
average house price in athens greece;20;0.0;uk;fullsearch-uk-house.csv;property;city;
average house price in greece;20;0.0;uk;fullsearch-uk-house.csv;property;country;
average price of a house in greece;20;0.0;uk;fullsearch-uk-house.csv;property;country;
best moving companies from uk to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
brits moving to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
cost to move to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
how much does it cost to move to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
is it worth moving to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
israelis moving to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
moving companies from uk to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;
moving to athens greece;20;0.0;uk;fullsearch-uk-move.csv;life;city;
moving to corfu greece;20;0.0;uk;fullsearch-uk-move.csv;life;island_region;
moving to greece after brexit;20;0.0;uk;fullsearch-uk-move.csv;life;country;
can you work in greece with a golden visa;20;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
does greece have a golden visa;20;1.67;us;fullsearch-us-goldenvisa.csv;visa;country;
elevate greece golden visa;20;5.83;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece 500 000;20;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece for family;20;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa greece price;20;1.9;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa lawyer greece;20;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa properties in greece;20;3.53;us;fullsearch-us-goldenvisa.csv;visa;country;
golden visa property greece;20;4.56;us;fullsearch-us-goldenvisa.csv;visa;country;
cost of living in greece for retirees;20;0.0;us;fullsearch-us-living.csv;life;country;
cost of living in mykonos greece;20;0.0;us;fullsearch-us-living.csv;life;island_region;
cost of living in rhodes greece;20;0.0;us;fullsearch-us-living.csv;life;island_region;
cost of living in thessaloniki greece;20;0.0;us;fullsearch-us-living.csv;life;city;
living in greece as a foreigner;20;0.0;us;fullsearch-us-living.csv;life;country;
living in greece as an expat;20;1.07;us;fullsearch-us-living.csv;life;country;
living in greece pros and cons;20;0.0;us;fullsearch-us-living.csv;life;country;
living in kefalonia greece;20;0.0;us;fullsearch-us-living.csv;life;island_region;
living in rhodes greece;20;0.0;us;fullsearch-us-living.csv;life;island_region;
living in thessaloniki greece;20;0.0;us;fullsearch-us-living.csv;life;city;
greek islands property for sale;10;0.23;us;semrush-volumes.csv;property;island_region;
seafront property for sale greece;10;0.0;us;semrush-volumes.csv;property;country;
greek island house for sale;10;0.16;us;semrush-volumes.csv;property;island_region;
houses for sale in kos greece;10;0.0;us;semrush-volumes.csv;property;island_region;
houses for sale in thessaloniki greece;10;0.06;us;semrush-volumes.csv;property;city;
property for sale in ithaca greece;10;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in sifnos greece;10;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in palaio faliro greece;10;0.0;us;semrush-volumes.csv;property;district;
buying property in greece as a foreigner;10;0.94;us;semrush-volumes.csv;property;country;
greece property taxes;10;0.71;us;semrush-volumes.csv;money;country;
greece golden visa property;10;2.77;us;semrush-volumes.csv;visa;country;
greece long stay visa;10;0.81;us;semrush-volumes.csv;visa;country;
greece rental income tax;10;0.0;us;semrush-volumes.csv;money;country;
greece house prices;10;0.24;us;semrush-volumes.csv;investment;country;
greece real estate investment;10;1.31;us;semrush-volumes.csv;investment;country;
greek island house for sale;10;0.2;uk;semrush-volumes.csv;property;island_region;
halkidiki real estate;10;0.34;uk;semrush-volumes.csv;property;island_region;
peloponnese real estate;10;0.24;uk;semrush-volumes.csv;property;island_region;
property for sale in antiparos greece;10;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in spetses greece;10;0.36;uk;semrush-volumes.csv;property;island_region;
property for sale in piraeus greece;10;0.0;uk;semrush-volumes.csv;property;district;
buying property in greece as a foreigner;10;0.58;uk;semrush-volumes.csv;property;country;
greece long stay visa;10;0.53;uk;semrush-volumes.csv;visa;country;
rental yield greece;10;0.0;uk;semrush-volumes.csv;investment;country;
greece rental income tax;10;0.0;uk;semrush-volumes.csv;money;country;
greece real estate investment;10;0.0;uk;semrush-volumes.csv;investment;country;
invest in greece property;0;1.31;us;semrush-volumes.csv;investment;country;
mykonos property investment;0;0.0;us;semrush-volumes.csv;investment;island_region;
property for sale in zakynthos greece;0;0.37;us;semrush-volumes.csv;property;island_region;
athens property investment;0;0.0;us;semrush-volumes.csv;investment;city;
property for sale in syros greece;0;0.06;us;semrush-volumes.csv;property;island_region;
property for sale in kythira greece;0;0.0;us;semrush-volumes.csv;property;island_region;
property for sale in glyfada greece;0;0.2;us;semrush-volumes.csv;property;district;
property for sale in voula greece;0;0.0;us;semrush-volumes.csv;property;district;
property for sale in anavyssos greece;0;0.0;us;semrush-volumes.csv;property;district;
greece mortgage non resident;0;0.0;us;semrush-volumes.csv;money;country;
greece golden visa 250000;0;0.0;us;semrush-volumes.csv;visa;country;
greece golden visa application;0;0.0;us;semrush-volumes.csv;visa;country;
greece golden visa family;0;0.0;us;semrush-volumes.csv;visa;country;
greece golden visa renewal;0;0.0;us;semrush-volumes.csv;visa;country;
greece property price index;0;0.0;us;semrush-volumes.csv;investment;country;
invest in greece property;0;1.87;uk;semrush-volumes.csv;investment;country;
seafront property for sale greece;0;0.0;uk;semrush-volumes.csv;property;country;
crete property investment;0;0.0;uk;semrush-volumes.csv;investment;island_region;
mykonos property investment;0;0.0;uk;semrush-volumes.csv;investment;island_region;
athens property investment;0;0.0;uk;semrush-volumes.csv;investment;city;
property for sale in tinos greece;0;0.63;uk;semrush-volumes.csv;property;island_region;
property for sale in patmos greece;0;0.0;uk;semrush-volumes.csv;property;island_region;
property for sale in voula greece;0;0.42;uk;semrush-volumes.csv;property;district;
property for sale in vouliagmeni greece;0;0.74;uk;semrush-volumes.csv;property;district;
property for sale in varkiza greece;0;0.0;uk;semrush-volumes.csv;property;district;
property for sale in anavyssos greece;0;0.0;uk;semrush-volumes.csv;property;district;
property for sale in elounda greece;0;0.0;uk;semrush-volumes.csv;property;district;
property for sale in chania greece;0;0.0;uk;semrush-volumes.csv;property;district;
property for sale in loutraki greece;0;0.0;uk;semrush-volumes.csv;property;district;
greece property buying process;0;0.0;uk;semrush-volumes.csv;property;country;
greece property taxes;0;0.0;uk;semrush-volumes.csv;money;country;
greece golden visa 800000;0;0.0;uk;semrush-volumes.csv;visa;country;
greece golden visa renewal;0;0.0;uk;semrush-volumes.csv;visa;country;
